,YEAR,STATE,RATE,DEATHS
239,2015,SC,23.4,1347
189,2016,SC,22.3,1369
139,2017,SC,24.5,1535
89,2018,SC,24.8,1580
39,2019,SC,24.4,1610
340,2005,SD,26.2,241
290,2014,SD,21.3,224
240,2015,SD,26.3,282
190,2016,SD,23.7,253
140,2017,SD,24.9,263
90,2018,SD,23.3,252
40,2019,SD,26.8,287
341,2005,TN,30.3,1844
291,2014,TN,23.2,1727
241,2015,TN,23.4,1798
191,2016,TN,24.0,1883
141,2017,TN,24.0,1915
91,2018,TN,24.5,2023
41,2019,TN,25.9,2161
342,2005,TX,29.7,5605
292,2014,TX,21.3,5348
242,2015,TX,21.2,5521
192,2016,TX,20.3,5470
142,2017,TX,21.2,5832
92,2018,TX,21.1,5991
42,2019,TX,23.6,6889
343,2005,UT,31.0,541
293,2014,UT,24.3,570
243,2015,UT,24.6,604
193,2016,UT,24.6,624
143,2017,UT,22.9,596
93,2018,UT,23.5,629
43,2019,UT,25.0,692
345,2005,VA,22.9,1642
295,2014,VA,18.5,1683
245,2015,VA,21.9,2044
195,2016,VA,21.7,2062
145,2017,VA,20.1,1967
95,2018,VA,22.9,2286
45,2019,VA,22.8,2350
344,2005,VT,25.8,173
294,2014,VT,18.7,154
244,2015,VT,19.8,159
194,2016,VT,20.5,166
144,2017,VT,19.2,163
94,2018,VT,18.2,156
44,2019,VT,15.5,136
346,2005,WA,25.5,1554
296,2014,WA,21.2,1668
246,2015,WA,22.4,1811
196,2016,WA,20.3,1673
146,2017,WA,21.6,1812
96,2018,WA,20.4,1779
46,2019,WA,20.5,1842
348,2005,WI,21.0,1276
298,2014,WI,19.1,1352
248,2015,WI,19.4,1382
198,2016,WI,19.9,1440
148,2017,WI,19.4,1433
98,2018,WI,20.2,1508
48,2019,WI,20.2,1548
347,2005,WV,34.5,766
297,2014,WV,33.3,818
247,2015,WV,31.7,784
197,2016,WV,34.8,860
147,2017,WV,34.0,864
97,2018,WV,36.2,927
47,2019,WV,36.2,952
349,2005,WY,25.8,130
299,2014,WY,17.6,110
249,2015,WY,20.8,136
199,2016,WY,16.6,112
149,2017,WY,18.1,121
99,2018,WY,21.4,145
49,2019,WY,18.5,132
